sensor-id,humidity
S102,NaN
S102,NaN
S102,NaN
S102,NaN
S102,NaN
S52,9
S82,99
S52,8
S92,96
S32,8
S42,7
S82,3
S12,9
S12,96
S12,50
S92,8
S72,7
S52,100
S12,9
S82,80
S22,100
S42,89
S62,8
S12,100
S62,96
S02,9
S12,100
S62,30
S82,98
S42,99
S82,100
S92,100
S62,9
S42,8
S52,80
S42,100
S62,9
S02,100
S72,69
S62,80
S62,99
S52,100
S62,97
S32,6
S72,8
S82,100
S92,7
S82,100
S52,70
S02,9
S62,99
S42,4
S32,100
S82,9
S82,8
S32,9
S92,70
S22,90
S22,8
S62,99
S62,9
S22,80
S82,69
S02,70
S62,100
S62,7
S62,8
S32,80
S22,8
S72,90
S52,9
S12,9
S02,9
S32,100
S12,9
S52,89
S62,98
S02,9
S72,80
S92,9
S42,95
S12,9
S72,9
S22,100
S32,89
S42,9
S82,7
S62,88
S52,89
S02,8
S62,8
S02,9
S02,4
S62,94
S12,98
S72,9
S62,100
S92,6
S72,100
S52,9
S62,9
S02,9
S82,8
S22,90
